WorkloadID,WorkloadDescription,SchedulerName,SchedulerType,StaticVariant,NumThreads,ChunkSize,ExecutionTimeMs,BaselineTimeMs,Speedup
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,57,N/A,2.6964,23.8435,8.8427
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,58,N/A,2.5867,23.8435,9.2179
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,59,N/A,2.4060,23.8435,9.9100
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,60,N/A,2.6852,23.8435,8.8795
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,61,N/A,2.6938,23.8435,8.8512
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,62,N/A,2.9144,23.8435,8.1814
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,63,N/A,2.7062,23.8435,8.8107
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,64,N/A,2.9031,23.8435,8.2130
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,65,N/A,2.9708,23.8435,8.0260
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,66,N/A,2.4902,23.8435,9.5747
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,67,N/A,2.9381,23.8435,8.1153
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,68,N/A,2.6215,23.8435,9.0954
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,69,N/A,3.0060,23.8435,7.9319
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,70,N/A,3.0800,23.8435,7.7414
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,71,N/A,2.9022,23.8435,8.2156
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,72,N/A,3.0212,23.8435,7.8921
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,73,N/A,3.0647,23.8435,7.7800
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,74,N/A,3.0021,23.8435,7.9424
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,75,N/A,3.2830,23.8435,7.2628
